LocName,Coordinates
A1,"3, 30"
A2,"4, 29"
B1,"2, 22"
B2,"3, 22"
B3,"3, 20"
C1,"2, 10"
C2,"3, 10"
C3,"3, 8"
D1,"3, 3"
D2,"4, 3"
E1,"12, 31"
E2,"12, 30"
F1,"11, 19"
F2,"10, 17"
G1,"9, 10"
G2,"9, 9"
H1,"9, 3"
H2,"9, 2"
I1,"18, 26"
I2,"21, 27"
J1,"18, 21"
K1,"15, 17"
K2,"14, 16"
K3,"15, 15"
L1,"15, 10"
L2,"14, 9"
M1,"15, 3"
M2,"14, 2"
N1,"23, 26"
O1,"24, 22"
P1,"21, 20"
P2,"20, 19"
Q1,"20, 15"
Q2,"21, 15"
Q3,"21, 16"
Q4,"20, 16"
R1,"20, 9"
R2,"21, 9"
R3,"21, 10"
R4,"20, 10"
S1,"20, 2"
S2,"21, 2"
S3,"21, 3"
S4,"20, 3"
T1,"30, 31"
T2,"29, 30"
U1,"31, 30"
V1,"30, 27"
V2,"31, 26"
W1,"30, 21"
W2,"31, 20"
X1,"30, 16"
X2,"30, 15"
X3,"31, 15"
X4,"31, 16"
Y1,"30, 10"
Y2,"30, 9"
Y3,"31, 9"
Y4,"31, 10"
Z1,"30, 3"
Z2,"31, 2"
Z3,"31, 3"
AA1,"38, 24"
AA2,"40, 24"
BB1,"38, 20"
BB2,"40, 20"
CC1,"38, 17"
CC2,"40, 15"
DD1,"38, 10"
DD2,"40, 9"
EE1,"38, 4"
EE2,"39, 4"
