RouteName,StartFinish
R1,"A1, B1"
R2,"B1, C1"
R3,"B1, F1"
R4,"C2, D1"
R5,"C1, G2"
R6,"C1, D1"
R7,"C3, G2"
R8,"C2, B3"
R9,"B2, A2"
R10,"A2, E2"
R11,"B3, A2"
R12,"B3, F2"
R13,"D1, H2"
R14,"D2, C3"
R15,"F1, G1"
R16,"E1, A1"
R17,"E2, I1"
R18,"F1, B2"
R19,"F1, B1"
R20,"F1, E2"
R21,"F2, G2"
R22,"F2, K2"
R23,"G1, C2"
R24,"G1, H1"
R25,"G1, L2"
R26,"G2, H1"
R27,"G2, L2"
R28,"H1, D2"
R29,"H1, M2"
R30,"H2, M2"
R31,"I1, J1"
R32,"I2, E1"
R33,"I2, I1"
R34,"J1, P2"
R35,"J1, P1"
R36,"K2, J1"
R37,"K2, F1"
R38,"K1, Q1"
R39,"K1, F1"
R40,"K2, Q1"
R41,"K3, Q1"
R42,"K3, F1"
R43,"K3, F1"
R44,"L1, G1"
R45,"L1, K3"
R46,"L2, K3"
R47,"L2, R1"
R48,"M1, L1"
R49,"M1, H1"
R50,"M2, S1"
R51,"M2, L1"
R52,"N1, T2"
R53,"N1, I2"
R54,"O1, N1"
R55,"P1, O1"
R56,"P2, O1"
R57,"P2, O1"
R58,"Q1, R4"
R59,"Q1, X2"
R60,"Q1, P1"
R61,"Q2, X2"
R62,"Q2, P1"
R63,"Q2, K1"
R64,"Q3, K1"
R65,"Q3, P1"
R66,"Q3, R4"
R67,"Q4, K1"
R68,"Q4, X2"
R69,"Q4, R4"
R70,"R1, S4"
R71,"R1, Y2"
R72,"R1, Q2"
R73,"R2, Q2"
R74,"R2, Y2"
R75,"R2, L1"
R76,"R3, Q2"
R77,"R3, L1"
R78,"R3, S4"
R79,"R4, L1"
R80,"R4, S4"
R81,"R4, Y2"
R82,"S1, Z2"
R83,"S1, R2"
R84,"S2, R2"
R85,"S3, M1"
R86,"S3, R2"
R87,"S4, M1"
R88,"S4, Z2"
R89,"T1, I2"
R90,"T1, V1"
R91,"T2, V1"
R92,"U1, I2"
R93,"V1, W1"
R94,"V1, AA1"
R95,"V2, AA1"
R96,"V2, U1"
R97,"W1, O1"
R98,"W1, X1"
R99,"W2, V2"
R100,"W2, O1"
R101,"W2, X1"
R102,"X1, Q3"
R103,"X1, Y1"
R104,"X1, CC2"
R105,"X2, Y1"
R106,"X2, CC2"
R107,"X2, W2"
R108,"X3, CC2"
R109,"X3, W2"
R110,"X3, Q3"
R111,"X4, W2"
R112,"X4, Q3"
R113,"X4, Y1"
R114,"Y1, R3"
R115,"Y1, Z1"
R116,"Y1, DD2"
R117,"Y2, Z1"
R118,"Y2, DD2"
R119,"Y2, X3"
R120,"Z1, S3"
R121,"Z2, EE2"
R122,"Z2, Y3"
R123,"Z3, S3"
R124,"Z3, Y3"
R125,"AA1, BB1"
R126,"AA2, T1"
R127,"BB1, W2"
R128,"BB1, CC1"
R129,"BB2, AA2"
R130,"BB2, W2"
R131,"CC1, X4"
R132,"CC1, DD1"
R133,"CC2, BB2"
R134,"CC2, X4"
R135,"DD1, Y4"
R136,"DD1, EE1"
R137,"DD2, Y4"
R138,"DD2, CC2"
R139,"EE1, Z3"
R140,"EE2, DD2"
